id,name,yr,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,comments,source,source2
35,Римпак-2012,2012,Australia,Canada,Chile,United States of America,Colombia,France,India,Indonesia,Japan,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Singapore,South Korea,Thailand,Tonga,United Kingdom,,,,,,,,,http://archive.redstar.ru/index.php/news-menu/pravovye-novosti/item/2803-po-kursu-%E2%80%93-rimpak-2012,https://www.cpf.navy.mil/rimpac/2012/forces/
36,Чистое небо-2012,2012,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11397249@egNews,
37,Селенга-2012,2012,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11364564@egNews,
38,Взаимодействие-2012,2012,Armenia,Belarus,Kazakhstan,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11359583@egNews,
39,Бдительный орел-2012,2012,Canada,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11324609@cmsArticle,
40,Северный орел-2012,2012,Norway,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11311442@cmsArticle,
41,Индра-2012,2012,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11285711@cmsArticle,
42,Рубеж-2012,2012,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11283161@cmsArticle,
43,Славянское содружество-2012,2012,Belarus,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11253401@cmsArticle,
44,ФРУКУС-2012,2012,France,United Kingdom,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11196114@cmsArticle,
45,Пассекс,2012,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11186635@cmsArticle,
46,Баренц-2012,2012,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11169743@egNews,
47,Мирная миссия-2012,2012,China,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11165517@egNews,
48,Балтопс-2012,2012,Germany,Denmark,Latvia,Lithuania,Netherlands,Norway,Poland,United States of America,,France,Sweden,Estonia,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11158100@egNews,
